name,prompt,negative_prompt
None,,
Default,"masterpiece, best quality, ","(worst quality, low quality:1.4)"
NovelAI Default,"masterpiece, best quality, ","lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry, artist name"
OrangeMixs Recommended,,"nsfw, (worst quality, low quality:1.3), (depth of field, blurry:1.2), (greyscale, monochrome:1.1), 3D face, nose, cropped, lowres, text, jpeg artifacts, signature, watermark, username, blurry, artist name, trademark, watermark, title, (tan, muscular, loli, petite, child, infant, toddlers, chibi, sd character:1.1), multiple view, Reference sheet,"
Pastel Mix Default,"masterpiece, best quality, ultra-detailed, illustration, ","lowres, ((bad anatomy)), ((bad hands)), text, missing finger, extra digits, fewer digits, blurry, ((mutated hands and fingers)), (poorly drawn face), ((mutation)), ((deformed face)), (ugly), ((bad proportions)), ((extra limbs)), extra face, (double head), (extra head), ((extra feet)), monster, logo, cropped, worst quality, low quality, normal quality, jpeg, humpbacked, long body, long neck, ((jpeg artifacts))"
Simple,"best quality, ultra-detailed, ","(worst quality, low quality:1.3), bad-artist, bad_prompt_version2"
DrBob's Quality,"best quality, ultra-detailed, masterpiece, beautiful lighting, intricate (high detail:1.2), dark intense shadows, (chromatic aberration), illustration, dramatic lighting, hdr,","multiple girls, lowres, text, error, missing arms, missing legs, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, jpeg artifacts, signature, watermark, out of frame, extra fingers, mutated hands, (poorly drawn hands), (poorly drawn face), (mutation), (deformed breasts), (ugly), blurry, (bad anatomy), (bad proportions), (extra limbs), cloned face, flat color, monochrome, limited palette"
Waifu Diffusion 1.4,"masterpiece, best quality, high quality, absurdres, ","worst quality, low quality, medium quality, deleted, lowres, comic, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, jpeg artifacts, signature, watermark, username, blurry"
Waifu Diffusion 1.5,"(waifu, anime, exceptional, best aesthetic, new, newest, best quality, masterpiece, extremely detailed:1.2)","lowres, ((bad anatomy)), ((bad hands)), text, missing finger, extra digits, fewer digits, blurry, ((mutated hands and fingers)), (poorly drawn face), ((mutation)), ((deformed face)), (ugly), ((bad proportions)), ((extra limbs)), extra face, (double head), (extra head), ((extra feet)), monster, logo, cropped, worst quality, jpeg, humpbacked, long body, long neck, ((jpeg artifacts)), deleted, old, oldest, ((censored)), ((bad aesthetic)), (mosaic censoring, bar censor, blur censor)"
Quality 1,"(masterpiece:1.2), (best quality:1.1), (highest quality), (high detail), ","worst quality, low quality, normal quality, lowres, jpeg artifacts, text, error, cropped, signature, watermark, username, blurry, artist name, (bad anatomy:1.2), (bad proportions:1.1), (extra limbs:1.2), (poorly drawn hands:1.3), (poorly drawn face:1.2), bad hands, missing fingers, extra digit, fewer digits, (mutated hands:1.2), (disembodied), (mutation), (deformed breasts), extra ears"
Quality 2,"(((masterpiece))), (((extremely high quality artwork))), (((masterwork))), (high resolution)","deformed, blurry, bad anatomy, disfigured, poorly drawn face, mutation, mutated, extra_limb, ugly, poorly drawn hands, no color, weird colors, censored, deformed glasses, lowres, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, (((worst quality))), (((low quality))), (((normal quality))), jpeg artifacts, signature, watermark, username, low resolution, bad anatomy, siamese twins"
Negative Embeddings,,"sketch by bad-artist, bad-artist-anime, bad_prompt_version2, EasyNegative"
Showcase: Fiyu,"1girl, blonde hair, blue eyes, short hair, wavy hair, hair ribbon, blue ribbon, detached sleeves, blue dress, portrait
Negative prompt: (worst quality, low quality:1.4), nsfw
Steps: 20, Sampler: Euler, CFG scale: 7, Seed: 3252012142, Size: 512x768, Clip skip: 2, ENSD: 0, Batch size: 3",
Showcase: Aoi,"1girl, white hair, green eyes, long hair, messy hair, choker, white jacket, open jacket, green shirt
Negative prompt: (worst quality, low quality:1.4), nsfw
Steps: 20, Sampler: Euler, CFG scale: 7, Seed: 3252012142, Size: 512x768, Clip skip: 2, ENSD: 0, Batch size: 3",
Showcase: Landscape,"scenery, mountains, grass fields, flowers
Negative prompt: (worst quality, low quality:1.4), nsfw
Steps: 20, Sampler: Euler, CFG scale: 7, Seed: 3252012142, Size: 768x512, Clip skip: 2, ENSD: 0, Batch size: 3",
